file_name	run	date	time	day	dry_cell_mass_g	cell_concentration_g_per_l	od_680nm_rep1	od_680nm_rep2	od_680nm_rep3	od_750nm_rep1	od_750nm_rep2	od_750nm_rep3	cells_per_ml
day_1_11_30.jpg	1	2015-11-23	11:30	1	3.60E-03	NA	1.56E-01	NA	NA	1.49E-01	NA	NA	3.20E+06
day_2_16_30.jpg	1	2015-11-24	16:30	2	NA	NA	1.55E-01	NA	NA	1.43E-01	NA	NA	4.00E+06
day_3_14_17.jpg	1	2015-11-25	14:17	3	NA	NA	1.39E-01	NA	NA	1.26E-01	NA	NA	4.00E+06
day_1_11_31.jpg	2	2015-11-30	11:31	1	1.30E-03	6.50E-02	7.40E-02	NA	NA	6.00E-02	NA	NA	5.20E+06
day_2_16_30.jpg	2	2015-01-12	16:30	2	9.00E-04	4.50E-02	1.26E-01	NA	NA	1.16E-01	NA	NA	4.40E+06
day_3_14_00.jpg	2	2015-02-12	14:00	3	8.30E-03	1.66E-01	1.72E-01	NA	NA	1.64E-01	NA	NA	5.20E+06
day_4_10_25.jpg	2	2015-03-12	10:25	4	5.10E-03	1.02E-01	1.05E-01	NA	NA	9.70E-02	NA	NA	4.00E+06
day_5_15_48.JPG	2	2015-04-12	15:48	5	2.30E-03	4.60E-02	1.01E-01	NA	NA	9.50E-02	NA	NA	4.80E+06
day_8_15_46.JPG	2	2015-07-12	15:46	8	4.00E-04	8.00E-03	7.00E-02	NA	NA	6.60E-02	NA	NA	2.00E+06
day_9_16_22.JPG	2	2015-08-12	16:22	9	2.70E-03	5.40E-02	1.31E-01	NA	NA	1.20E-01	NA	NA	4.80E+06
day_10_12_10.JPG	2	2015-09-12	12:10	10	1.40E-03	2.80E-02	6.30E-02	NA	NA	5.20E-02	NA	NA	2.40E+06
day_11_12_01.JPG	2	2015-10-12	12:01	11	4.00E-04	8.00E-03	6.80E-02	NA	NA	5.80E-02	NA	NA	2.80E+06
day_1_15_57.JPG	3	2016-01-13	15:57	1	NA	NA	6.00E-02	6.10E-02	6.20E-02	5.40E-02	5.50E-02	5.50E-02	2.00E+06
day_2_10_38.JPG	3	2016-01-14	10:38	2	NA	NA	5.90E-02	5.90E-02	6.00E-02	5.10E-02	5.10E-02	5.10E-02	2.00E+06
day_3_11_07.JPG	3	2016-01-15	11:07	3	3.10E-03	6.20E-02	6.30E-02	5.50E-02	5.50E-02	5.70E-02	5.00E-02	4.90E-02	1.60E+06
day_6_10_09.JPG	3	2016-01-18	10:09	6	2.80E-03	5.60E-02	4.30E-02	4.20E-02	4.10E-02	3.80E-02	3.70E-02	3.60E-02	1.20E+06
day_7_16_08.JPG	3	2016-01-19	16:08	7	3.00E-03	6.00E-02	3.80E-02	3.80E-02	3.80E-02	3.50E-02	3.30E-02	3.40E-02	1.20E+06
day_8_12_18.JPG	3	2016-01-20	12:18	8	3.30E-03	6.60E-02	3.50E-02	3.60E-02	3.50E-02	2.80E-02	3.00E-02	2.90E-02	1.20E+06
day_9_13_17.JPG	3	2016-01-21	13:17	9	2.80E-03	5.60E-02	3.20E-02	3.20E-02	3.10E-02	2.50E-02	2.70E-02	2.70E-02	8.00E+05
day_10_12_16.JPG	3	2016-01-22	12:16	10	2.80E-03	5.60E-02	2.60E-02	2.80E-02	2.70E-02	2.20E-02	2.20E-02	2.40E-02	1.20E+06
day_10_12_17.jpg	3	2016-01-22	12:16	10	2.80E-03	5.60E-02	2.60E-02	2.80E-02	2.70E-02	2.20E-02	2.20E-02	2.40E-02	1.20E+06
day_1_17_20.JPG	4	2016-01-26	17:20	1	2.80E-03	5.60E-02	1.34E-01	1.34E-01	1.36E-01	1.21E-01	1.21E-01	1.22E-01	5.20E+06
day_2_16_42.JPG	4	2016-01-27	16:42	2	5.00E-03	1.00E-01	4.65E-01	4.66E-01	4.67E-01	4.35E-01	4.35E-01	4.35E-01	1.04E+07
day_3_10_51.jpg	4	2016-01-28	10:51	3	6.40E-03	1.28E-01	1.11E-01	1.07E-01	1.09E-01	1.02E-01	1.00E-01	1.01E-01	2.00E+07
day_4_11_40.jpg	4	2016-01-29	11:40	4	4.60E-03	2.30E-01	1.28E-01	1.31E-01	1.30E-01	1.23E-01	1.26E-01	1.25E-01	2.40E+07
day_7_10_11.JPG	4	2016-01-02	10:11	7	5.90E-03	2.95E-01	1.41E-01	1.43E-01	1.45E-01	1.29E-01	1.30E-01	1.31E-01	3.20E+07
day_8_11_28.JPG	4	2016-02-02	11:29	8	3.30E-03	1.65E-01	7.80E-01	7.60E-01	7.70E-01	7.30E-01	7.30E-01	7.30E-01	1.32E+07
day_9_15_55.JPG	4	2016-03-02	15:55	9	2.20E-03	1.10E-01	4.80E-01	4.80E-01	4.80E-01	4.30E-01	4.30E-01	4.30E-01	1.08E+07
day_1_16_19.JPG	5	2016-04-02	16:19	1	1.00E-03	5.00E-02	1.13E-01	1.13E-01	1.13E-01	1.05E-01	1.04E-01	1.03E-01	5.60E+06
day_2_15_33.JPG	5	2016-05-02	15:33	2	4.00E-03	2.00E-01	3.41E-01	3.45E-01	3.43E-01	3.34E-01	3.35E-01	3.35E-01	6.80E+06
day_5_16_25.JPG	5	2016-08-02	16:25	5	6.70E-03	3.35E-01	9.72E-01	9.70E-01	9.70E-01	8.43E-01	8.43E-01	8.43E-01	1.44E+07
day_6_16_07.JPG	5	2016-09-02	16:07	6	5.60E-03	2.80E-01	8.81E-01	8.84E-01	8.82E-01	7.89E-01	7.92E-01	7.92E-01	1.60E+07
day_7_15_28.JPG	5	2016-10-02	15:28	7	6.50E-03	3.25E-01	8.30E-01	8.32E-01	8.32E-01	7.42E-01	7.42E-01	7.41E-01	1.40E+07
day_8_16_12.JPG	5	2016-11-02	16:12	8	6.80E-03	3.40E-01	8.03E-01	8.01E-01	8.01E-01	7.13E-01	7.12E-01	7.12E-01	1.32E+07
day_9_11_01.JPG	5	2016-12-02	11:01	9	NA	NA	7.56E-01	7.59E-01	7.60E-01	6.71E-01	6.72E-01	6.74E-01	1.24E+07
day_1_16_19.JPG	6	2016-04-02	16:19	1	2.60E-03	1.30E-01	2.03E-01	2.01E-01	2.01E-01	1.87E-01	1.86E-01	1.89E-01	6.00E+06
day_1_16_20.JPG	6	2016-04-02	16:19	1	2.60E-03	1.30E-01	2.03E-01	2.01E-01	2.01E-01	1.87E-01	1.86E-01	1.89E-01	6.00E+06
day_2_15_33.JPG	6	2016-05-02	15:33	2	2.60E-03	1.30E-01	2.07E-01	2.07E-01	2.07E-01	1.90E-01	1.91E-01	1.91E-01	5.60E+06
day_2_15_53.JPG	6	2016-05-02	15:33	2	2.60E-03	1.30E-01	2.07E-01	2.07E-01	2.07E-01	1.90E-01	1.91E-01	1.91E-01	5.60E+06
day_5_16_25.JPG	6	2016-08-02	16:25	5	3.70E-03	1.85E-01	2.62E-01	2.60E-01	2.61E-01	2.28E-01	2.28E-01	2.28E-01	6.40E+06
Day_5_16_26.JPG	6	2016-08-02	16:25	5	3.70E-03	1.85E-01	2.62E-01	2.60E-01	2.61E-01	2.28E-01	2.28E-01	2.28E-01	6.40E+06
